,name,cuisine,price_range,rating,review_count,neighborhoods,latitude,longitude,zip_code
0,Unconventional Diner,New American,$$,4.4,2936,N/A,38.906139,-77.0238,20001
1,L'Ardente,Italian,$$$,4.5,1235,N/A,38.89891904977066,-77.01407410000002,20001
2,Gypsy Kitchen DC,Tapas/Small Plates,$$,4.3,919,N/A,38.91488,-77.03155,20009
3,Le Diplomate,Brasseries,$$$,4.3,5414,N/A,38.91135,-77.03157,20009
4,ANJU,Korean,$$,4.3,560,N/A,38.91437,-77.04149,20009
5,Old Ebbitt Grill,Bars,$$,4.2,11058,N/A,38.897967,-77.033342,20005
6,Grazie Nonna,Italian,$$,4.1,527,N/A,38.90401,-77.035,20005
7,Boqueria Penn Quarter,Spanish,$$,4.3,553,N/A,38.89952852762722,-77.0233928613015,20001
8,G.O.A.T. Room,Indian,N/A,4.6,136,N/A,38.903343,-77.02671,20001
9,Umai Nori,Sushi Bars,N/A,4.8,142,N/A,38.905153,-77.044539,20036
10,Baan Siam,Thai,$$,4.5,649,N/A,38.90147950746981,-77.01634228634687,20001
11,Coco Lezzone,Mediterranean,N/A,4.9,89,N/A,38.901816,-77.033306,20005
12,Founding Farmers - Washington,American,$$,4.0,17388,N/A,38.9003656616031,-77.04443538060977,20006
13,CR NoMa,Mediterranean,$$,4.4,180,N/A,38.90591,-77.00473,20002
14,dLeña,Mexican,$$$,4.4,1038,N/A,38.902279,-77.018701,20001
15,St. Anselm,Steakhouses,$$$,4.4,1029,N/A,38.907794,-76.999082,20002
16,The Best Sandwich Place,Breakfast & Brunch,$$,4.5,368,N/A,38.901,-77.03033,20005
17,Astoria DC,Szechuan,$$,4.3,461,N/A,38.91052,-77.03813,20036
18,Pisco y Nazca Ceviche Gastrobar,Peruvian,$$,4.6,2628,N/A,38.90398223,-77.0426388,20036
19,The Hamilton,Seafood,$$,3.9,3686,N/A,38.8974544016632,-77.0320804809509,20005
20,ilili Restaurant,Lebanese,$$$,4.4,578,N/A,38.87998529973132,-77.02562499542958,20024
21,Caruso's Grocery,Italian,$$,4.6,263,N/A,38.879703,-76.985245,20003
22,Immigrant Food,New American,$$,4.2,219,N/A,38.90228434195082,-77.02930733940048,20005
23,Rice Bar,Korean,N/A,4.6,260,N/A,38.89456828001193,-77.02385401983705,20004
24,Georgetown Seafood,Seafood,N/A,4.7,357,N/A,38.90552,-77.06501,20007
25,Mazi,New American,$$$,4.5,385,N/A,38.90213,-77.03544,20005
26,Benitos Place,Latin American,$$,4.8,150,N/A,38.9093433099563,-77.0268602822185,20001
27,Love Makoto,Japanese,$$$$,4.5,364,N/A,38.898886,-77.014134,20001
28,Reren,Ramen,$$,4.0,2405,N/A,38.900318145752,-77.0215911865234,20001
29,A Baked Joint,Coffee & Tea,$$,4.4,2543,N/A,38.902465,-77.017275,20001
30,Sampannee,Thai,$$,4.3,150,N/A,38.909403,-77.04762,20037
31,Rumi’s Kitchen,Persian/Iranian,$$$,4.5,726,N/A,38.9040351,-77.0213156,20001
32,Albi,Lebanese,N/A,4.6,395,N/A,38.87409934484795,-77.00037067394102,20003
33,Ambar,Modern European,$$$,4.5,2287,N/A,38.88208,-76.99534,20003
34,Maydan,Moroccan,$$$$,4.4,1224,N/A,38.9198436416598,-77.0310185087658,20009
35,Yardbird,New American,$$$,3.8,735,N/A,38.902001750586145,-77.0258959538568,20001
36,Cucina Morini,Italian,N/A,4.5,81,N/A,38.901685,-77.015875,20001
37,St James - Modern Caribbean,Caribbean,N/A,4.3,356,N/A,38.91763,-77.03158,20009
38,Da Hong Pao,Cantonese,$$,3.8,1062,N/A,38.9093783217825,-77.03174,20005
39,Tiki Garden Thai Street Food,Thai,$$,4.8,92,N/A,38.90041,-76.9885,20002
40,Thip Khao,Laotian,$$,4.4,1433,N/A,38.9329951308367,-77.03298782558623,20010
41,Umi Japanese Cuisine,Sushi Bars,$$,3.9,582,N/A,38.92431,-77.05148,20008
42,Pastis,French,N/A,4.3,131,N/A,38.90956358163106,-76.9984619,20002
43,El Presidente,Mexican,$$$,4.1,265,N/A,38.90862,-77.0006,20002
44,The Smith,New American,$$,3.9,1590,N/A,38.897666,-77.024307,20004
45,Dumpling District,Dim Sum,N/A,4.2,94,N/A,38.900025,-77.0211493,20001
46,The Capital Burger,Burgers,$$,4.3,988,N/A,38.90331,-77.021605,20001
47,Moon Rabbit,Vietnamese,N/A,4.3,116,N/A,38.897541372622534,-77.02524618922448,20004
48,The Bazaar By Jose Andres,Bars,N/A,4.0,311,N/A,38.894108,-77.027582,20004
49,JINYA Ramen Bar - Logan Circle,Ramen,$$,4.1,1345,N/A,38.90845011013803,-77.03221963602826,20005
